,start time,Unnamed: 1,Home,Score,Away,Handicap,Corner,HT Corner,Asian Corn.,Corner O/U,Goals,Goals O/U,Attack,Shots,Analysis
0,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024,June 2024
1,06/01 12:40,,Juventus (Bomb1to) Esports,0 - 0,AC Milan (Jekunam) Esports,"0.0, +0.5",0 - 0,0 - 0,,,4.5,,-,-,C. O. L.
2,06/01 12:38,,Portugal (BlackStar98) Esports,0 - 0,England (MeLToSiK) Esports,"0.0, -0.5",0 - 0,0 - 0,,,"3.0, 3.5",,-,-,C. O. L.
3,06/01 12:38,,Netherlands (SANE4EK8) Esports,0 - 0,Germany (FEARGGWP) Esports,0.0,0 - 0,0 - 0,,,"3.0, 3.5",,-,-,C. O. L.
4,06/01 12:26,03 ',Germany (FEARGGWP) Esports,3 - 0,Argentina (Labotryas) Esports,"0.0,+0.5",1 - 2,1 - 2,,,"3.0, 3.5",,-,6 - 1,C. O. L.
5,06/01 12:26,03 ',England (MeLToSiK) Esports,1 - 2,Netherlands (SANE4EK8) Esports,0.0,1 - 2,1 - 2,,,"2.5, 3.0",,-,2 - 3,C. O. L.
6,06/01 12:18,Full,Inter (dm1trena) Esports,1 - 2,Benfica (Upcake22) Esports,0.0,0 - 2,0 - 2,,,3.5,Under,-,3 - 5,C. O. L.
7,06/01 12:18,Full,AC Milan (Bomb1to) Esports,0 - 0,Sevilla (lowheels) Esports,"0.0, -0.5",1 - 0,1 - 0,,,4.5,Under,-,4 - 1,C. O. L.
8,06/01 12:14,Full,Netherlands (SANE4EK8) Esports,5 - 2,Portugal (BlackStar98) Esports,0.0,0 - 3,0 - 3,,,3.0,Over,-,9 - 4,C. O. L.
9,06/01 12:14,Full,Argentina (Labotryas) Esports,0 - 0,England (MeLToSiK) Esports,0.0,3 - 1,3 - 1,,,3.0,Under,-,-,C. O. L.
10,06/01 12:06,Full,Sevilla (lowheels) Esports,3 - 0,Newcastle (Jekunam) Esports,"0.0, +0.5",4 - 1,4 - 1,,,4.0,Under,-,11 - 1,C. O. L.
11,06/01 12:06,Full,Benfica (Upcake22) Esports,1 - 3,AC Milan (Bomb1to) Esports,0.0,1 - 1,1 - 1,,,"3.5, 4.0",Over,-,3 - 7,C. O. L.
12,06/01 12:02,Full,England (MeLToSiK) Esports,1 - 1,Germany (FEARGGWP) Esports,+0.5,2 - 1,2 - 1,,,3.0,Under,-,2 - 2,C. O. L.
